Account Number,Person's Name,Last Contact Date,Last Paid Date,Last Payment Extension,Cure Sent/Needed,Was Accel Sent (If Needed),"Credit Reporting Past Due 31, 61, 91",Last Assigned for Repossession,Previous Repo/Reinstatement Date,Reason for Being Past Due,Extension Eligible
ACCT880399,Customer 465,,2021-04-28,2024-06-23,Yes,Yes,None,2023-02-24,2022-02-22,Unexpected expenses,Yes
ACCT495165,Customer 466,,2021-12-28,,Yes,Yes,31 days,2023-03-20,2020-06-06,Divorce,Yes
ACCT241226,Customer 467,,2024-12-24,,Yes,Yes,91+ days,2023-11-16,2022-07-24,Other,No
ACCT280005,Customer 468,2025-01-20,,,Yes,Yes,None,2021-09-23,,Other,Yes
ACCT530071,Customer 469,2023-12-25,2022-09-20,,No,,61 days,,,Overspending,No
ACCT283616,Customer 470,,2020-02-03,2024-05-04,Yes,No,None,2022-05-10,2022-11-20,Divorce,No
ACCT711172,Customer 471,,,2024-09-23,Yes,No,91+ days,2022-06-10,2023-05-14,Overspending,Yes
ACCT203284,Customer 472,,2023-03-04,2022-02-02,No,,31 days,,,Medical emergency,No
ACCT620771,Customer 473,2025-02-13,2023-08-29,2020-07-18,No,,91+ days,2022-05-15,2022-03-04,Bank error,Yes
ACCT844665,Customer 474,2022-02-08,2023-03-08,2022-03-13,No,,31 days,,2020-05-28,Late paycheck,No
ACCT916766,Customer 475,2024-08-21,2020-09-21,2023-09-02,Yes,No,61 days,2023-12-27,2022-07-16,Bank error,No
ACCT652113,Customer 476,2020-11-24,,,Yes,Yes,31 days,2021-10-07,2022-02-08,Other,No
ACCT368376,Customer 477,2022-12-28,2023-03-27,2024-06-19,No,,31 days,2024-02-26,2024-08-30,Late paycheck,Yes
ACCT297543,Customer 478,2022-02-07,2024-11-10,,Yes,Yes,61 days,2024-08-01,,Job loss,No
ACCT245719,Customer 479,,2024-12-11,,Yes,Yes,61 days,2022-02-13,2021-12-07,Late paycheck,Yes
ACCT615040,Customer 480,2022-10-20,2023-06-01,2022-08-24,Yes,Yes,61 days,2022-02-21,2020-08-18,Unexpected expenses,Yes
ACCT238245,Customer 481,2024-10-09,,2022-08-19,Yes,Yes,91+ days,,2023-11-12,Bank error,Yes
ACCT397097,Customer 482,2021-04-05,2024-07-17,2022-01-28,No,,91+ days,2023-10-31,2024-12-26,Divorce,Yes
ACCT289676,Customer 483,2023-03-23,2021-09-21,2020-07-15,No,,None,,2024-10-07,Medical emergency,No
ACCT336649,Customer 484,2021-03-07,2021-04-09,,No,,31 days,,2023-03-09,Overspending,Yes
ACCT911888,Customer 485,2021-02-16,2024-12-25,2024-01-26,No,,None,,2025-02-17,Medical emergency,No
ACCT102926,Customer 486,2020-07-29,2020-07-11,2023-01-13,No,,61 days,,2024-06-17,Medical emergency,No
ACCT615734,Customer 487,2024-10-01,2020-09-03,2021-07-17,No,,61 days,,2023-12-04,Job loss,No
ACCT133100,Customer 488,2023-09-02,2020-01-15,2024-06-25,No,,None,2021-05-03,2022-10-06,Job loss,Yes
ACCT509652,Customer 489,2022-10-26,2020-01-13,2023-08-27,Yes,Yes,31 days,2021-11-04,,Bank error,Yes
ACCT959427,Customer 490,,2021-09-16,2024-02-19,Yes,No,31 days,2022-04-18,,Medical emergency,No
ACCT117762,Customer 491,2022-03-28,2022-04-13,2021-12-26,No,,31 days,2022-09-10,2022-02-19,Unexpected expenses,No
ACCT112930,Customer 492,,,2024-09-03,No,,None,2024-01-13,2022-03-24,Overspending,Yes
ACCT392793,Customer 493,2022-08-10,2022-10-06,2020-10-16,Yes,Yes,61 days,2020-11-20,2021-01-15,Divorce,No
ACCT602694,Customer 494,2024-12-08,2021-06-22,2020-02-06,No,,61 days,2023-11-16,2020-11-09,Bank error,No
ACCT928863,Customer 495,2020-07-09,2024-01-28,2020-05-14,No,,61 days,2022-10-14,,Bank error,Yes
ACCT277815,Customer 496,2021-07-17,,,Yes,Yes,31 days,2023-04-20,,Late paycheck,Yes
ACCT498092,Customer 497,2021-06-13,,2022-07-12,Yes,Yes,None,2024-12-08,,Job loss,No
ACCT552063,Customer 498,2023-10-04,2021-01-19,,No,,31 days,,2022-01-13,Bank error,Yes
ACCT843757,Customer 499,,2024-09-04,2025-01-25,Yes,Yes,31 days,2020-07-01,2021-01-10,Overspending,No
ACCT942791,Customer 500,2022-10-07,2020-01-31,2024-04-14,Yes,No,61 days,,2022-07-31,Bank error,No
